function_name,thread_id,duration_ns,self_time_ns,num_children
main,402309,961000,9000,4
dup_bio_in,402309,546000,7000,1
BIO_new_fp,402309,539000,8000,1
BIO_new_ex,402309,530000,7000,2
CRYPTO_zalloc,402309,294000,294000,0
CRYPTO_new_ex_data,402309,229000,1000,1
ossl_crypto_new_ex_data_ex,402309,228000,7000,2
ossl_lib_ctx_get_ex_data_global,402309,221000,1000,1
ossl_lib_ctx_get_concrete,402309,220000,1000,1
get_default_context,402309,219000,0,1
get_thread_default_context,402309,219000,4000,1
CRYPTO_THREAD_run_once,402309,215000,5000,1
default_context_do_init,402309,210000,2000,1
context_init,402309,208000,68000,9
ossl_method_store_new,402309,11000,11000,1
CRYPTO_THREAD_lock_new,402309,0,0,0
ossl_rand_ctx_new,402309,12000,5000,1
OPENSSL_init_crypto,402309,7000,1000,1
CRYPTO_THREAD_run_once,402309,6000,2000,1
ossl_init_base_ossl_,402309,5000,5000,0
ossl_method_store_new,402309,3000,3000,0
ossl_decoder_cache_new,402309,5000,2000,1
lh_DECODER_CACHE_ENTRY_new,402309,3000,2000,1
OPENSSL_LH_new,402309,1000,1000,1
CRYPTO_zalloc,402309,0,0,0
ossl_provider_store_new,402309,10000,5000,1
sk_OSSL_PROVIDER_new,402309,5000,5000,0
ossl_stored_namemap_new,402309,18000,1000,1
ossl_namemap_new,402309,17000,5000,1
ossl_ht_new,402309,12000,8000,1
alloc_new_neighborhood_list,402309,4000,4000,0
ossl_ctx_global_properties_new,402309,1000,1000,1
CRYPTO_malloc,402309,0,0,0
ossl_property_parse_init,402309,72000,20000,6
ossl_property_name,402309,14000,11000,1
lh_PROPERTY_STRING_retrieve,402309,3000,1000,1
OPENSSL_LH_retrieve,402309,2000,1000,1
getrn,402309,1000,0,1
lh_PROPERTY_STRING_hfn_thunk,402309,1000,1000,1
property_hash,402309,0,0,1
OPENSSL_LH_strhash,402309,0,0,0
ossl_property_name,402309,7000,6000,1
lh_PROPERTY_STRING_retrieve,402309,2000,1000,1
lh_PROPERTY_STRING_hfn_thunk,402309,1000,1000,0
ossl_property_name,402309,7000,0,1
ossl_property_string,402309,7000,7000,1
OPENSSL_sk_push,402309,0,0,0
ossl_property_name,402309,11000,0,1
ossl_property_string,402309,11000,7000,1
OPENSSL_sk_push,402309,4000,1000,1
compute_growth,402309,2000,0,1
safe_muldiv_int,402309,2000,2000,1
safe_div_int,402309,0,0,0
ossl_property_name,402309,6000,5000,1
OPENSSL_LH_insert,402309,1000,1000,1
CRYPTO_malloc,402309,0,0,0
ossl_property_string,402309,7000,7000,1
ossl_lib_ctx_get_data,402309,0,0,0
ossl_load_builtin_compressions,402309,8000,8000,0
get_and_lock,402309,0,0,0
dup_bio_out,402309,9000,3000,1
BIO_new_fp,402309,6000,1000,1
