program,input,iteration,path_rank,archetype
sqlite,7,0,5,1
sqlite,7,0,6,1
sqlite,7,0,7,1
sqlite,7,0,8,1
sqlite,7,0,9,1
sqlite,7,0,10,7
sqlite,7,1,1,1
sqlite,7,1,2,7
sqlite,7,1,3,3
sqlite,7,1,4,3
sqlite,7,1,5,1
sqlite,7,1,6,1
sqlite,7,1,7,1
sqlite,7,1,8,1
sqlite,7,1,9,1
sqlite,7,1,10,7
sqlite,7,2,1,1
sqlite,7,2,2,7
sqlite,7,2,3,3
sqlite,7,2,4,3
sqlite,7,2,5,8
sqlite,7,2,6,1
sqlite,7,2,7,1
sqlite,7,2,8,1
sqlite,7,2,9,1
sqlite,7,2,10,7
sqlite,8,0,1,1
sqlite,8,0,2,7
sqlite,8,0,3,3
sqlite,8,0,4,3
sqlite,8,0,5,1
sqlite,8,0,6,1
sqlite,8,0,7,1
sqlite,8,0,8,1
sqlite,8,0,9,1
sqlite,8,0,10,7
sqlite,8,1,1,1
sqlite,8,1,2,7
sqlite,8,1,3,3
sqlite,8,1,4,3
sqlite,8,1,5,1
sqlite,8,1,6,1
sqlite,8,1,7,1
sqlite,8,1,8,1
sqlite,8,1,9,1
sqlite,8,1,10,7
sqlite,8,2,1,1
sqlite,8,2,2,7
sqlite,8,2,3,3
sqlite,8,2,4,3
sqlite,8,2,5,1
sqlite,8,2,6,1
sqlite,8,2,7,2
sqlite,8,2,8,1
sqlite,8,2,9,1
sqlite,8,2,10,7
sqlite,9,0,1,1
sqlite,9,0,2,7
sqlite,9,0,3,3
sqlite,9,0,4,3
sqlite,9,0,5,1
sqlite,9,0,6,1
sqlite,9,0,7,2
sqlite,9,0,8,1
sqlite,9,0,9,1
sqlite,9,0,10,7
sqlite,9,1,1,1
sqlite,9,1,2,7
sqlite,9,1,3,3
sqlite,9,1,4,3
sqlite,9,1,5,1
sqlite,9,1,6,1
sqlite,9,1,7,1
sqlite,9,1,8,1
sqlite,9,1,9,1
sqlite,9,1,10,1
sqlite,9,2,1,1
sqlite,9,2,2,7
sqlite,9,2,3,3
sqlite,9,2,4,3
sqlite,9,2,5,1
sqlite,9,2,6,1
sqlite,9,2,7,2
sqlite,9,2,8,1
sqlite,9,2,9,1
sqlite,9,2,10,7
sqlite,10,0,1,1
sqlite,10,0,2,7
sqlite,10,0,3,3
sqlite,10,0,4,3
sqlite,10,0,5,1
sqlite,10,0,6,1
sqlite,10,0,7,1
sqlite,10,0,8,1
sqlite,10,0,9,1
sqlite,10,0,10,1
sqlite,10,1,1,1
sqlite,10,1,2,7
sqlite,10,1,3,3
sqlite,10,1,4,3
sqlite,10,1,5,1
sqlite,10,1,6,1
sqlite,10,1,7,1
sqlite,10,1,8,1
sqlite,10,1,9,1
sqlite,10,1,10,1
sqlite,10,2,1,1
sqlite,10,2,2,7
sqlite,10,2,3,3
sqlite,10,2,4,3
sqlite,10,2,5,1
sqlite,10,2,6,1
sqlite,10,2,7,1
sqlite,10,2,8,1
sqlite,10,2,9,1
sqlite,10,2,10,7
sqlite,11,0,1,1
sqlite,11,0,2,7
sqlite,11,0,3,3
sqlite,11,0,4,3
sqlite,11,0,5,1
sqlite,11,0,6,1
sqlite,11,0,7,1
sqlite,11,0,8,1
sqlite,11,0,9,1
sqlite,11,0,10,7
sqlite,11,1,1,1
sqlite,11,1,2,7
sqlite,11,1,3,3
sqlite,11,1,4,3
sqlite,11,1,5,1
sqlite,11,1,6,1
sqlite,11,1,7,2
sqlite,11,1,8,1
sqlite,11,1,9,1
sqlite,11,1,10,7
sqlite,11,2,1,1
sqlite,11,2,2,7
sqlite,11,2,3,3
sqlite,11,2,4,3
sqlite,11,2,5,1
sqlite,11,2,6,1
sqlite,11,2,7,1
sqlite,11,2,8,1
sqlite,11,2,9,1
sqlite,11,2,10,7
sqlite,12,0,1,1
sqlite,12,0,2,7
sqlite,12,0,3,3
sqlite,12,0,4,3
sqlite,12,0,5,1
sqlite,12,0,6,1
sqlite,12,0,7,2
sqlite,12,0,8,1
sqlite,12,0,9,1
sqlite,12,0,10,7
sqlite,12,1,1,1
sqlite,12,1,2,7
sqlite,12,1,3,3
sqlite,12,1,4,3
sqlite,12,1,5,1
sqlite,12,1,6,1
sqlite,12,1,7,1
sqlite,12,1,8,1
sqlite,12,1,9,1
sqlite,12,1,10,7
sqlite,12,2,1,1
sqlite,12,2,2,7
sqlite,12,2,3,3
sqlite,12,2,4,3
sqlite,12,2,5,1
sqlite,12,2,6,1
sqlite,12,2,7,1
sqlite,12,2,8,1
sqlite,12,2,9,1
sqlite,12,2,10,1
sqlite,13,0,1,1
sqlite,13,0,2,7
sqlite,13,0,3,3
sqlite,13,0,4,3
sqlite,13,0,5,1
sqlite,13,0,6,1
sqlite,13,0,7,1
sqlite,13,0,8,1
sqlite,13,0,9,1
sqlite,13,0,10,7
sqlite,13,1,1,1
sqlite,13,1,2,7
sqlite,13,1,3,3
sqlite,13,1,4,3
sqlite,13,1,5,1
sqlite,13,1,6,1
sqlite,13,1,7,2
sqlite,13,1,8,1
sqlite,13,1,9,8
sqlite,13,1,10,7
sqlite,13,2,1,1
sqlite,13,2,2,7
sqlite,13,2,3,3
sqlite,13,2,4,3
sqlite,13,2,5,1
sqlite,13,2,6,1
sqlite,13,2,7,1
sqlite,13,2,8,1
sqlite,13,2,9,1
sqlite,13,2,10,7
sqlite,14,0,1,1
sqlite,14,0,2,7
sqlite,14,0,3,7
sqlite,14,0,4,3
sqlite,14,0,5,1
sqlite,14,0,6,2
sqlite,14,0,7,1
sqlite,14,0,8,1
sqlite,14,0,9,1
sqlite,14,0,10,1
sqlite,14,1,1,1
sqlite,14,1,2,7
sqlite,14,1,3,3
sqlite,14,1,4,1
sqlite,14,1,5,1
sqlite,14,1,6,1
sqlite,14,1,7,1
sqlite,14,1,8,7
sqlite,14,1,9,7
sqlite,14,1,10,7
sqlite,14,2,1,1
sqlite,14,2,2,7
sqlite,14,2,3,7
sqlite,14,2,4,3
sqlite,14,2,5,1
sqlite,14,2,6,1
sqlite,14,2,7,1
sqlite,14,2,8,1
sqlite,14,2,9,1
sqlite,14,2,10,1
sqlite,15,0,1,1
sqlite,15,0,2,7
sqlite,15,0,3,3
sqlite,15,0,4,3
sqlite,15,0,5,1
sqlite,15,0,6,1
sqlite,15,0,7,1
sqlite,15,0,8,1
sqlite,15,0,9,1
sqlite,15,0,10,7
sqlite,15,1,1,1
sqlite,15,1,2,7
sqlite,15,1,3,3
sqlite,15,1,4,3
sqlite,15,1,5,1
sqlite,15,1,6,1
sqlite,15,1,7,1
sqlite,15,1,8,1
sqlite,15,1,9,1
sqlite,15,1,10,7
sqlite,15,2,1,1
sqlite,15,2,2,7
sqlite,15,2,3,3
sqlite,15,2,4,3
sqlite,15,2,5,8
sqlite,15,2,6,1
sqlite,15,2,7,1
sqlite,15,2,8,1
sqlite,15,2,9,1
sqlite,15,2,10,1
sqlite,16,0,1,1
sqlite,16,0,2,7
sqlite,16,0,3,7
sqlite,16,0,4,3
sqlite,16,0,5,1
sqlite,16,0,6,1
sqlite,16,0,7,1
sqlite,16,0,8,1
sqlite,16,0,9,1
sqlite,16,0,10,7
sqlite,16,1,1,1
sqlite,16,1,2,7
sqlite,16,1,3,3
sqlite,16,1,4,1
sqlite,16,1,5,1
sqlite,16,1,6,1
sqlite,16,1,7,1
sqlite,16,1,8,1
sqlite,16,1,9,1
sqlite,16,1,10,7
sqlite,16,2,1,1
sqlite,16,2,2,7
sqlite,16,2,3,7
sqlite,16,2,4,3
sqlite,16,2,5,1
sqlite,16,2,6,1
sqlite,16,2,7,2
sqlite,16,2,8,1
sqlite,16,2,9,1
sqlite,16,2,10,7
sqlite,17,0,1,1
sqlite,17,0,2,7
sqlite,17,0,3,3
sqlite,17,0,4,3
sqlite,17,0,5,1
sqlite,17,0,6,1
sqlite,17,0,7,2
sqlite,17,0,8,1
sqlite,17,0,9,7
sqlite,17,0,10,7
sqlite,17,1,1,1
sqlite,17,1,2,7
sqlite,17,1,3,3
sqlite,17,1,4,3
sqlite,17,1,5,1
sqlite,17,1,6,8
sqlite,17,1,7,1
sqlite,17,1,8,1
sqlite,17,1,9,7
sqlite,17,1,10,7
sqlite,17,2,1,1
sqlite,17,2,2,7
sqlite,17,2,3,3
sqlite,17,2,4,3
sqlite,17,2,5,1
sqlite,17,2,6,1
sqlite,17,2,7,1
sqlite,17,2,8,1
sqlite,17,2,9,7
sqlite,17,2,10,7
sqlite,18,0,1,1
sqlite,18,0,2,7
sqlite,18,0,3,7
sqlite,18,0,4,3
sqlite,18,0,5,1
sqlite,18,0,6,1
sqlite,18,0,7,1
sqlite,18,0,8,1
sqlite,18,0,9,7
sqlite,18,0,10,7
sqlite,18,1,1,1
sqlite,18,1,2,7
sqlite,18,1,3,7
sqlite,18,1,4,3
sqlite,18,1,5,1
sqlite,18,1,6,1
sqlite,18,1,7,2
sqlite,18,1,8,1
sqlite,18,1,9,1
sqlite,18,1,10,7
sqlite,18,2,1,1
sqlite,18,2,2,7
sqlite,18,2,3,3
sqlite,18,2,4,1
sqlite,18,2,5,1
sqlite,18,2,6,1
sqlite,18,2,7,1
sqlite,18,2,8,1
sqlite,18,2,9,7
sqlite,18,2,10,7
sqlite,19,0,1,1
sqlite,19,0,2,7
sqlite,19,0,3,3
sqlite,19,0,4,3
sqlite,19,0,5,1
sqlite,19,0,6,1
sqlite,19,0,7,1
sqlite,19,0,8,1
sqlite,19,0,9,1
sqlite,19,0,10,7
sqlite,19,1,1,1
sqlite,19,1,2,7
sqlite,19,1,3,3
sqlite,19,1,4,3
sqlite,19,1,5,1
sqlite,19,1,6,1
sqlite,19,1,7,1
sqlite,19,1,8,2
sqlite,19,1,9,1
sqlite,19,1,10,7
sqlite,19,2,1,1
sqlite,19,2,2,7
sqlite,19,2,3,3
sqlite,19,2,4,3
sqlite,19,2,5,1
sqlite,19,2,6,1
sqlite,19,2,7,2
sqlite,19,2,8,1
sqlite,19,2,9,1
sqlite,19,2,10,7
sqlite,20,0,1,1
sqlite,20,0,2,7
sqlite,20,0,3,7
sqlite,20,0,4,3
sqlite,20,0,5,1
sqlite,20,0,6,1
sqlite,20,0,7,1
sqlite,20,0,8,1
sqlite,20,0,9,1
sqlite,20,0,10,7
sqlite,20,1,1,1
sqlite,20,1,2,7
sqlite,20,1,3,3
sqlite,20,1,4,1
sqlite,20,1,5,1
sqlite,20,1,6,1
sqlite,20,1,7,1
sqlite,20,1,8,1
sqlite,20,1,9,7
sqlite,20,1,10,7
sqlite,20,2,1,1
sqlite,20,2,2,7
sqlite,20,2,3,7
sqlite,20,2,4,3
sqlite,20,2,5,1
sqlite,20,2,6,1
sqlite,20,2,7,1
sqlite,20,2,8,1
sqlite,20,2,9,1
sqlite,20,2,10,7
sqlite,21,0,1,1
sqlite,21,0,2,7
sqlite,21,0,3,3
sqlite,21,0,4,3
sqlite,21,0,5,1
sqlite,21,0,6,1
sqlite,21,0,7,1
sqlite,21,0,8,1
sqlite,21,0,9,7
sqlite,21,0,10,7
sqlite,21,1,1,1
sqlite,21,1,2,7
sqlite,21,1,3,3
sqlite,21,1,4,3
sqlite,21,1,5,1
sqlite,21,1,6,1
sqlite,21,1,7,1
sqlite,21,1,8,1
sqlite,21,1,9,7
sqlite,21,1,10,7
sqlite,21,2,1,1
sqlite,21,2,2,7
sqlite,21,2,3,3
sqlite,21,2,4,3
