function_name,thread_id,duration_ns,self_time_ns,num_children
main,101332,685000,41000,3
checkLibVersion,101332,3000,3000,0
FIO_setMMapDict,101332,0,0,0
FIO_createDResources,101332,122000,8000,2
AIO_WritePool_create,101332,63000,15000,1
AIO_IOPool_init,101332,63000,12000,3
POOL_create,101332,48000,0,1
POOL_create_advanced,101332,48000,48000,0
AIO_IOPool_createIoJob,101332,2000,2000,0
AIO_IOPool_createIoJob,101332,1000,1000,0
AIO_ReadPool_create,101332,51000,3000,1
AIO_IOPool_createThreadPool,101332,24000,0,1
POOL_create_advanced,101332,23000,23000,0
AIO_IOPool_createIoJob,101332,7000,7000,0
AIO_IOPool_createIoJob,101332,1000,1000,0
FIO_decompressSrcFile,101332,293000,29000,4
FIO_openSrcFile,101332,15000,15000,0
AIO_ReadPool_setFile,101332,31000,0,1
AIO_ReadPool_startReading,101332,31000,14000,2
AIO_ReadPool_enqueueRead,101332,16000,1000,1
AIO_ReadPool_executeReadJob,101332,15000,15000,0
AIO_ReadPool_enqueueRead,101332,1000,1000,0
FIO_decompressDstFile,101332,222000,43000,5
FIO_openDstFile,101332,77000,64000,2
UTIL_isSameFile,101332,9000,4000,1
UTIL_stat,101332,5000,5000,0
POOL_thread,101339,231000,231000,0
FIO_removeFile,101332,41000,41000,0
POOL_thread,101340,284000,284000,0
addHandler,101332,6000,1000,1
UTIL_stat,101332,4000,4000,0
FIO_decompressFrames,101332,95000,9000,1
FIO_decompressZstdFrame,101332,86000,2000,2
ZSTD_decompressStream,101332,59000,10000,1
ZSTD_decompress_usingDDict,101332,49000,0,1
ZSTD_decompressMultiFrame,101332,49000,6000,1
ZSTD_decompressFrame,101332,43000,2000,1
ZSTD_decompressBlock_internal,101332,41000,5000,1
ZSTD_decompressSequences,101332,36000,3000,1
ZSTD_decompressSequences_bmi2,101332,33000,33000,1
ZSTD_copy16,101332,0,0,0
AIO_IOPool_enqueueJob,101332,24000,0,1
AIO_WritePool_executeWriteJob,101332,24000,1000,1
AIO_fwriteSparse,101332,23000,23000,0
AIO_IOPool_acquireJob,101332,0,0,0
UTIL_setFDStat,101332,20000,20000,0
AIO_WritePool_closeFile,101332,12000,12000,1
AIO_fwriteSparseEnd,101332,0,0,0
AIO_ReadPool_setFile,101332,7000,0,1
AIO_ReadPool_releaseAllCompletedJobs,101332,7000,7000,1
AIO_IOPool_releaseIoJob,101332,0,0,0
FIO_freeDResources,101332,225000,3000,2
AIO_WritePool_free,101332,91000,0,1
AIO_IOPool_destroy,101332,91000,12000,1
POOL_free,101332,84000,84000,0
AIO_ReadPool_free,101332,131000,1001,1
AIO_IOPool_destroy,101332,129999,8999,1
POOL_join,101332,118000,118000,0
