function_name,thread_id,duration_ns,self_time_ns,num_children
main,97776,1038000,44000,2
default_nbThreads,97776,239000,2000,2
UTIL_countCores,97776,237000,237000,0
UTIL_countLogicalCores,97776,0,0,0
UTIL_getFileSize,97776,9000,0,1
UTIL_fstat,97776,9000,9000,0
FIO_createCResources,97776,187000,22000,3
AIO_WritePool_create,97776,81000,23000,1
AIO_IOPool_init,97776,81000,17000,3
POOL_create_advanced,97776,57000,57000,0
AIO_IOPool_createIoJob,97776,1000,1000,0
AIO_IOPool_createIoJob,97776,6000,6000,0
AIO_ReadPool_create,97776,84000,1000,1
AIO_IOPool_init,97776,83000,17000,5
AIO_IOPool_createThreadPool,97776,47000,47000,0
AIO_IOPool_createIoJob,97776,2000,2000,0
AIO_IOPool_createIoJob,97776,12000,12000,0
AIO_IOPool_createIoJob,97776,7000,7000,0
AIO_IOPool_createIoJob,97776,1000,1000,0
POOL_thread,97783,400000,400000,0
ZSTD_CCtx_setParameter,97776,0,0,1
ZSTD_cParam_withinBounds,97776,0,0,0
UTIL_stat,97776,5000,5000,0
FIO_openSrcFile,97776,26000,26000,0
AIO_ReadPool_setFile,97776,22000,1000,1
AIO_ReadPool_startReading,97776,21000,12000,2
AIO_ReadPool_enqueueRead,97776,8000,1000,1
AIO_IOPool_enqueueJob,97776,7000,0,1
AIO_ReadPool_executeReadJob,97776,7000,7000,0
POOL_thread,97784,443000,443000,0
AIO_ReadPool_enqueueRead,97776,2000,2000,0
FIO_compressFilename_dstFile,97776,317000,76000,6
FIO_openDstFile,97776,74000,27000,3
UTIL_fstat,97776,3000,3000,0
UTIL_isRegularFile,97776,4000,4000,0
FIO_removeFile,97776,40000,40000,0
UTIL_isRegularFile,97776,10000,10000,0
FIO_compressFilename_internal,97776,162000,13000,2
UTIL_getFileSize,97776,4000,4000,0
FIO_compressZstdFrame,97776,145000,111000,1
ZSTD_compressStream2,97776,132000,3000,3
ZSTD_getCParamsFromCCtxParams,97776,1000,1000,0
ZSTD_compressBegin_internal,97776,31000,1000,1
ZSTD_resetCCtx_internal,97776,30000,16000,3
ZSTD_estimateCCtxSize_usingCCtxParams_internal,97776,4000,4000,0
ZSTD_reset_matchState,97776,10000,2000,1
ZSTD_cwksp_clean_tables,97776,8000,8000,0
ZSTD_cwksp_reserve_internal,97776,0,0,0
ZSTD_compressStream_generic,97776,97000,1000,1
ZSTD_compressEnd_public,97776,96000,1000,1
ZSTD_compress_frameChunk,97776,95000,2000,1
ZSTD_compressBlock_internal,97776,93000,20000,2
ZSTD_buildSeqStore,97776,72000,5000,1
ZSTD_compressBlock_fast,97776,67000,3000,1
ZSTD_count,97776,64000,64000,2
MEM_readST,97776,0,0,0
MEM_readST,97776,0,0,0
ZSTD_entropyCompressSeqStore,97776,19000,7000,2
ZSTD_noCompressLiterals,97776,0,0,0
ZSTD_buildSequencesStatistics,97776,12000,10000,1
ZSTD_buildCTable,97776,2000,2000,0
UTIL_setFDStat,97776,32000,14000,1
UTIL_fchmod,97776,18000,18000,0
AIO_WritePool_closeFile,97776,25000,25000,0
UTIL_utime,97776,7000,7000,0
FIO_freeCResources,97776,174000,1000,3
AIO_WritePool_free,97776,98000,1000,1
AIO_IOPool_destroy,97776,97000,8000,1
POOL_free,97776,92000,91000,1
ZSTD_customFree,97776,1000,1000,0
AIO_ReadPool_free,97776,69000,1000,1
AIO_IOPool_destroy,97776,68000,7000,1
POOL_free,97776,63000,63000,1
ZSTD_customFree,97776,0,0,0
ZSTD_freeCCtx,97776,6000,1000,1
ZSTD_freeCCtxContent,97776,5000,5000,0
