function_name,thread_id,duration_ns,self_time_ns,num_children
main,933874,68098000,43650000,6
parse_loglevel,933874,225000,53000,4
locate_option,933874,59000,15000,3
find_option,933874,15000,15000,0
find_option,933874,14000,14000,1
av_strstart,933874,0,0,0
find_option,933874,15000,15000,0
locate_option,933874,51000,3000,5
find_option,933874,2000,2000,0
find_option,933874,14000,14000,1
av_strstart,933874,0,0,0
find_option,933874,3000,3000,0
find_option,933874,14000,14000,0
find_option,933874,15000,15000,1
av_strstart,933874,0,0,0
locate_option,933874,60000,4000,4
find_option,933874,15000,15000,0
find_option,933874,11000,11000,0
find_option,933874,14000,14000,0
find_option,933874,16000,16000,0
locate_option,933874,52000,6000,4
find_option,933874,14000,14000,0
find_option,933874,3000,3000,0
find_option,933874,14000,14000,0
find_option,933874,15000,15000,1
av_strstart,933874,0,0,0
locate_option,933874,53000,8000,3
find_option,933874,15000,15000,1
av_strstart,933874,0,0,0
find_option,933874,14000,14000,1
av_strstart,933874,0,0,0
find_option,933874,16000,16000,1
av_strstart,933874,0,0,0
print_program_info,933874,34000,12000,3
format_line,933874,1000,1000,1
av_vbprintf,933874,0,0,0
av_vlog,933874,3000,3000,0
av_log_default_callback,933874,4000,4000,0
print_all_libs_info,933874,41000,41000,0
print_all_libs_info,933874,25000,18000,3
av_log,933874,2000,2000,1
sanitize,933874,0,0,0
av_log_default_callback,933874,3000,3000,0
av_vlog,933874,2000,1000,1
colored_fputs,933874,1000,1000,0
ffmpeg_parse_options,933874,15562000,8000,5
split_commandline,933874,1136000,17000,5
finish_group,933874,0,0,0
find_option,933874,15000,15000,0
opt_default,933874,632000,11000,2
av_opt_find2.localalias,933874,253000,146000,22
codec_child_class_iterate,933874,25000,2000,1
av_codec_iterate,933874,23000,2000,1
av_codec_init_static,933874,21000,13000,1
mjpeg_get_supported_config,933874,8000,3000,1
ff_default_get_supported_config,933874,5000,5000,0
av_opt_find2.localalias,933874,3000,3000,0
av_opt_child_class_iterate,933874,0,0,0
av_opt_find2.localalias,933874,1000,1000,0
av_opt_find2.localalias,933874,11000,11000,0
av_opt_find2.localalias,933874,3000,3000,1
av_opt_next,933874,0,0,0
codec_child_class_iterate,933874,2000,2000,0
av_opt_find2.localalias,933874,2000,2000,0
av_opt_find2.localalias,933874,4000,4000,1
av_opt_next,933874,0,0,0
av_opt_find2.localalias,933874,17000,8000,2
av_opt_next,933874,9000,9000,0
av_opt_next,933874,0,0,0
av_opt_find2.localalias,933874,3000,3000,0
av_opt_find2.localalias,933874,2000,2000,0
av_opt_find2.localalias,933874,4000,4000,0
av_opt_child_class_iterate,933874,0,0,0
av_opt_next,933874,0,0,0
av_opt_find2.localalias,933874,6000,6000,0
av_opt_find2.localalias,933874,4000,4000,0
av_opt_find2.localalias,933874,7000,7000,0
av_opt_find2.localalias,933874,4000,4000,0
av_opt_find2.localalias,933874,3000,3000,0
av_opt_find2.localalias,933874,1000,1000,0
av_opt_find2.localalias,933874,5000,5000,0
av_opt_find2.localalias,933874,368000,270000,31
av_opt_find2.localalias,933874,41000,4000,1
av_opt_find2.localalias,933874,37000,29000,4
av_opt_find2.localalias,933874,0,0,0
av_opt_find2.localalias,933874,6000,6000,0
av_opt_find2.localalias,933874,1000,1000,0
av_opt_find2.localalias,933874,1000,1000,0
av_opt_child_class_iterate,933874,0,0,0
av_opt_find2.localalias,933874,3000,3000,0
av_opt_next,933874,0,0,0
av_opt_find2.localalias,933874,0,0,0
av_opt_find2.localalias,933874,5000,5000,0
av_opt_find2.localalias,933874,9000,9000,0
av_opt_find2.localalias,933874,0,0,0
av_opt_find2.localalias,933874,0,0,0
av_opt_find2.localalias,933874,4000,4000,0
av_opt_child_class_iterate,933874,8000,8000,0
av_opt_find2.localalias,933874,0,0,0
av_opt_find2.localalias,933874,4000,4000,0
av_opt_find2.localalias,933874,3000,3000,0
av_opt_next,933874,0,0,0
av_opt_find2.localalias,933874,5000,5000,0
av_opt_find2.localalias,933874,0,0,0
av_opt_find2.localalias,933874,0,0,0
av_opt_next,933874,0,0,0
av_opt_child_class_iterate,933874,0,0,0
format_child_class_iterate,933874,0,0,0
av_opt_find2.localalias,933874,4000,4000,0
av_opt_find2.localalias,933874,1000,1000,0
av_opt_next,933874,0,0,0
av_opt_child_class_iterate,933874,1000,0,1
format_child_class_iterate,933874,1000,1000,0
av_opt_child_class_iterate,933874,4000,4000,0
format_child_class_iterate,933874,1000,1000,0
av_opt_find2.localalias,933874,0,0,0
av_opt_find2.localalias,933874,0,0,0
av_opt_child_class_iterate,933874,0,0,0
av_opt_find2.localalias,933874,0,0,0
find_option,933874,13000,13000,0
opt_default,933874,459000,4000,2
opt_find,933874,154000,0,1
av_opt_find2.localalias,933874,154000,113000,15
av_opt_find2.localalias,933874,3000,3000,1
av_opt_next,933874,0,0,0
av_opt_find2.localalias,933874,0,0,0
av_opt_find2.localalias,933874,15000,15000,0
av_opt_find2.localalias,933874,4000,4000,1
av_opt_next,933874,0,0,0
av_opt_find2.localalias,933874,3000,3000,1
av_opt_next,933874,0,0,0
av_opt_find2.localalias,933874,6000,6000,0
av_opt_find2.localalias,933874,4000,4000,0
av_opt_find2.localalias,933874,0,0,0
av_opt_find2.localalias,933874,3000,3000,0
av_codec_iterate,933874,0,0,0
av_opt_next,933874,0,0,0
codec_child_class_iterate,933874,0,0,0
av_opt_find2.localalias,933874,2000,2000,1
av_opt_next,933874,0,0,0
codec_child_class_iterate,933874,0,0,0
av_opt_find2.localalias,933874,1000,1000,0
av_opt_find2.localalias,933874,301000,238000,26
av_opt_find2.localalias,933874,31000,1000,1
av_opt_find2.localalias,933874,30000,21000,3
av_opt_find2.localalias,933874,0,0,0
av_opt_find2.localalias,933874,2000,2000,1
av_opt_next,933874,0,0,0
av_opt_find2.localalias,933874,7000,7000,0
av_opt_find2.localalias,933874,0,0,0
av_opt_find2.localalias,933874,3000,3000,1
av_opt_next,933874,0,0,0
format_child_class_iterate,933874,0,0,0
av_opt_find2.localalias,933874,4000,4000,1
av_opt_next,933874,0,0,0
av_opt_find2.localalias,933874,4000,4000,0
av_opt_find2.localalias,933874,4000,4000,1
av_opt_next,933874,0,0,0
av_opt_next,933874,0,0,0
av_opt_find2.localalias,933874,0,0,0
av_opt_find2.localalias,933874,8000,8000,1
av_opt_next,933874,0,0,0
av_opt_find2.localalias,933874,2000,2000,0
av_opt_find2.localalias,933874,0,0,1
av_opt_next,933874,0,0,0
av_opt_find2.localalias,933874,4000,4000,0
format_child_class_iterate,933874,0,0,0
av_opt_child_class_iterate,933874,0,0,0
av_opt_find2.localalias,933874,0,0,0
av_opt_child_class_iterate,933874,0,0,0
av_opt_child_class_iterate,933874,3000,3000,0
format_child_class_iterate,933874,0,0,0
format_child_class_iterate,933874,0,0,0
av_demuxer_iterate,933874,0,0,0
format_child_class_iterate,933874,0,0,0
av_opt_child_class_iterate,933874,0,0,0
av_opt_find2.localalias,933874,0,0,0
av_opt_find2.localalias,933874,0,0,0
av_opt_child_class_iterate,933874,0,0,0
parse_optgroup,933874,2000,2000,1
av_vlog,933874,0,0,0
open_files,933874,7716000,2000,2
ifile_open,933874,7686000,18000,8
demux_alloc,933874,3000,3000,0
avformat_alloc_context,933874,13000,2000,1
av_opt_set_defaults,933874,11000,11000,1
set_string_binary,933874,0,0,0
av_dict_set,933874,1000,1000,0
avformat_open_input,933874,1762000,833000,4
av_opt_set_dict2,933874,8000,3000,1
av_opt_set,933874,6000,6000,0
init_input,933874,913000,5000,3
av_probe_input_format2,933874,69000,53000,3
av_demuxer_iterate,933874,0,0,0
img_read_probe,933874,16000,16000,1
av_strcasecmp,933874,0,0,0
av_demuxer_iterate,933874,0,0,0
io_open_default,933874,51000,1000,1
ffurl_open_whitelist,933874,45000,14000,2
av_opt_set_dict,933874,3000,2000,1
av_dict_free,933874,1000,1000,0
ffurl_connect,933874,28000,9000,3
av_dict_get,933874,1000,1000,1
av_toupper,933874,0,0,0
file_open,933874,13000,4000,1
avpriv_open,933874,9000,9000,0
av_dict_set,933874,4000,1000,1
av_dict_get,933874,3000,3000,0
ffio_fdopen,933874,5000,5000,1
avio_alloc_context,933874,0,0,1
ffio_init_context,933874,0,0,0
av_probe_input_buffer2,933874,788000,4000,3
avio_read,933874,12000,0,1
read_packet_wrapper,933874,12000,0,1
ffurl_read2,933874,12000,1000,1
file_read,933874,11000,11000,0
av_probe_input_format3,933874,761000,430000,34
av_match_ext,933874,0,0,1
av_strncasecmp,933874,0,0,0
av_match_ext,933874,0,0,0
ffifmt,933874,0,0,0
argo_cvg_probe,933874,0,0,0
avs3video_probe,933874,7000,7000,0
avpriv_find_start_code,933874,1000,1000,0
av_match_ext,933874,0,0,0
dv_probe,933874,3000,3000,0
eac3_probe,933874,2000,2000,0
ffifmt,933874,0,0,0
h261_probe,933874,9000,9000,1
av_bswap64,933874,0,0,0
h263_probe,933874,2000,2000,0
iamf_probe,933874,4000,4000,0
img_read_probe,933874,16000,16000,2
av_strcasecmp,933874,0,0,0
av_strcasecmp,933874,0,0,0
ipmovie_probe,933874,1000,1000,0
mpeg4video_probe,933874,2000,2000,0
mcc_probe,933874,4000,1000,1
ff_text_read,933874,3000,3000,1
ff_text_r8,933874,0,0,0
av_match_name,933874,1000,1000,0
mp3_read_probe,933874,246000,246000,22
avpriv_mpegaudio_decode_header,933874,0,0,0
ff_mpa_check_header,933874,0,0,0
avpriv_mpegaudio_decode_header,933874,0,0,0
ff_mpa_check_header,933874,0,0,0
avpriv_mpegaudio_decode_header,933874,0,0,0
avpriv_mpegaudio_decode_header,933874,0,0,0
avpriv_mpegaudio_decode_header,933874,0,0,0
avpriv_mpegaudio_decode_header,933874,0,0,0
avpriv_mpegaudio_decode_header,933874,0,0,0
avpriv_mpegaudio_decode_header,933874,0,0,0
avpriv_mpegaudio_decode_header,933874,0,0,0
avpriv_mpegaudio_decode_header,933874,0,0,0
avpriv_mpegaudio_decode_header,933874,0,0,0
avpriv_mpegaudio_decode_header,933874,0,0,0
avpriv_mpegaudio_decode_header,933874,0,0,0
avpriv_mpegaudio_decode_header,933874,0,0,0
avpriv_mpegaudio_decode_header,933874,0,0,0
avpriv_mpegaudio_decode_header,933874,0,0,0
avpriv_mpegaudio_decode_header,933874,0,0,0
avpriv_mpegaudio_decode_header,933874,0,0,0
