function_name,thread_id,duration_ns,self_time_ns,num_children
main,421235,938000,10000,4
dup_bio_in,421235,528000,6000,1
BIO_new_fp,421235,522000,8000,1
BIO_new,421235,514000,1000,1
BIO_new_ex,421235,513000,7000,2
CRYPTO_zalloc,421235,291000,291000,0
CRYPTO_new_ex_data,421235,215000,0,1
ossl_crypto_new_ex_data_ex,421235,215000,4000,1
ossl_lib_ctx_get_ex_data_global,421235,211000,1000,1
ossl_lib_ctx_get_concrete,421235,210000,0,1
get_thread_default_context,421235,210000,4000,1
CRYPTO_THREAD_run_once,421235,206000,7000,1
default_context_do_init_ossl_,421235,199000,1000,1
context_init,421235,198000,121000,9
ossl_do_ex_data_init,421235,1000,1000,1
CRYPTO_THREAD_lock_new,421235,0,0,1
CRYPTO_malloc,421235,0,0,0
ossl_method_store_new,421235,11000,5000,1
ossl_sa_ALGORITHM_new,421235,6000,3000,1
CRYPTO_zalloc,421235,2000,2000,0
ossl_rand_ctx_new,421235,11000,11000,0
ossl_decoder_cache_new,421235,4000,2000,1
lh_DECODER_CACHE_ENTRY_new,421235,2000,2000,0
ossl_provider_store_new,421235,9000,5000,1
sk_OSSL_PROVIDER_new,421235,4000,4000,0
ossl_property_string_data_new,421235,7000,7000,1
CRYPTO_zalloc,421235,0,0,1
CRYPTO_malloc,421235,0,0,0
ossl_stored_namemap_new,421235,17000,0,1
ossl_namemap_new,421235,17000,5000,1
ossl_ht_new,421235,12000,8000,1
ossl_rcu_lock_new,421235,4000,2000,1
CRYPTO_zalloc,421235,2000,2000,0
ossl_prov_drbg_nonce_ctx_new,421235,3000,3000,1
CRYPTO_THREAD_lock_new,421235,0,0,0
ossl_property_name,421235,14000,14000,1
ossl_lib_ctx_get_data,421235,0,0,0
ossl_property_name,421235,7000,1000,1
ossl_property_string,421235,6000,5000,1
lh_PROPERTY_STRING_insert,421235,1000,1000,1
OPENSSL_LH_insert,421235,1000,1000,1
property_hash,421235,0,0,0
ossl_property_name,421235,7000,1000,1
ossl_property_string,421235,6000,6000,0
ossl_property_string,421235,10000,9000,1
OPENSSL_LH_retrieve,421235,0,0,1
getrn,421235,0,0,0
ossl_property_string,421235,6000,6000,1
OPENSSL_LH_retrieve,421235,0,0,1
property_hash,421235,0,0,0
ossl_property_value,421235,8000,0,1
ossl_property_string,421235,8000,7000,1
OPENSSL_sk_insert,421235,1000,1000,1
sk_reserve,421235,0,0,0
ossl_property_string,421235,7000,7000,0
dup_bio_out,421235,8000,8000,0
dup_bio_err,421235,6000,0,1
BIO_new_fp,421235,6000,6000,1
BIO_new,421235,5000,5000,1
CRYPTO_malloc,421235,0,0,0
apps_startup,421235,386000,5000,1
OPENSSL_init_ssl,421235,381000,0,1
OPENSSL_init_crypto,421235,381000,3000,1
CRYPTO_THREAD_run_once,421235,378000,1000,1
ossl_init_add_all_ciphers,421235,377000,2000,1
openssl_add_all_ciphers_int,421235,375000,61000,31
EVP_add_cipher,421235,24000,7000,2
OBJ_NAME_add,421235,9000,5000,1
CRYPTO_THREAD_run_once,421235,4000,1000,1
o_names_init_ossl_,421235,3000,0,1
o_names_init,421235,3000,2000,1
lh_OBJ_NAME_new,421235,1000,1000,1
OPENSSL_LH_set_thunks,421235,0,0,0
OBJ_NAME_add,421235,8000,1000,1
lh_OBJ_NAME_insert,421235,7000,1000,1
getrn,421235,6000,1000,1
obj_name_cmp,421235,5000,1000,1
OPENSSL_strcasecmp,421235,4000,4000,0
EVP_add_cipher,421235,10000,10000,0
EVP_add_cipher,421235,10000,7000,1
OBJ_NAME_add,421235,3000,1000,1
OPENSSL_LH_insert,421235,2000,2000,0
EVP_add_cipher,421235,12000,4000,1
OBJ_NAME_add,421235,8000,2000,1
lh_OBJ_NAME_insert,421235,6000,0,1
getrn,421235,5000,1000,1
lh_OBJ_NAME_cfn_thunk,421235,4000,1000,1
obj_name_cmp,421235,3000,3000,1
ossl_tolower,421235,0,0,0
EVP_add_cipher,421235,12000,4000,1
OBJ_NAME_add,421235,8000,2000,1
lh_OBJ_NAME_insert,421235,6000,0,1
OPENSSL_LH_insert,421235,6000,1000,1
lh_OBJ_NAME_cfn_thunk,421235,5000,5000,0
EVP_add_cipher,421235,13000,4000,1
OBJ_NAME_init,421235,0,0,0
EVP_des_ede3_cfb8,421235,0,0,0
EVP_add_cipher,421235,11000,4000,1
OBJ_NAME_add,421235,7000,2000,1
lh_OBJ_NAME_insert,421235,5000,0,1
getrn,421235,5000,1000,1
lh_OBJ_NAME_cfn_thunk,421235,4000,0,1
obj_name_cmp,421235,4000,4000,0
EVP_add_cipher,421235,11000,6000,1
OBJ_NAME_add,421235,5000,1000,1
lh_OBJ_NAME_insert,421235,4000,1000,1
getrn,421235,3000,0,1
lh_OBJ_NAME_cfn_thunk,421235,3000,1000,1
OPENSSL_strcasecmp,421235,2000,2000,1
ossl_tolower,421235,0,0,0
EVP_add_cipher,421235,11000,4000,1
OBJ_NAME_add,421235,7000,1000,1
OPENSSL_LH_insert,421235,6000,1000,1
getrn,421235,5000,2000,1
lh_OBJ_NAME_cfn_thunk,421235,3000,0,1
OPENSSL_strcasecmp,421235,3000,3000,0
EVP_add_cipher,421235,12000,4000,1
OBJ_NAME_add,421235,8000,2000,1
lh_OBJ_NAME_insert,421235,6000,0,1
lh_OBJ_NAME_hfn_thunk,421235,0,0,0
EVP_add_cipher,421235,17000,2000,2
OBJ_NAME_add,421235,2000,2000,1
lh_OBJ_NAME_insert,421235,1000,1000,0
OBJ_NAME_add,421235,13000,2000,1
OPENSSL_LH_insert,421235,11000,1000,1
OPENSSL_strcasecmp,421235,10000,10000,0
OBJ_NAME_add,421235,5000,5000,0
EVP_add_cipher,421235,19000,4000,1
OBJ_NAME_add,421235,15000,1000,1
getrn,421235,13000,0,1
lh_OBJ_NAME_cfn_thunk,421235,13000,1000,1
OPENSSL_strcasecmp,421235,12000,12000,0
OBJ_NAME_add,421235,4000,2000,1
lh_OBJ_NAME_insert,421235,2000,1000,1
lh_OBJ_NAME_cfn_thunk,421235,1000,1000,0
EVP_add_cipher,421235,11000,5000,1
OBJ_NAME_add,421235,6000,1000,1
lh_OBJ_NAME_insert,421235,5000,1000,1
getrn,421235,4000,0,1
OPENSSL_strcasecmp,421235,3000,3000,0
EVP_add_cipher,421235,12000,3000,1
OBJ_NAME_add,421235,9000,2000,1
lh_OBJ_NAME_insert,421235,7000,7000,1
OPENSSL_LH_insert,421235,6000,6000,0
OBJ_NAME_add,421235,2000,2000,1
OPENSSL_LH_error,421235,0,0,0
EVP_add_cipher,421235,10000,10000,1
OBJ_NAME_add,421235,5000,5000,0
EVP_add_cipher,421235,10000,10000,0
OBJ_NAME_add,421235,8000,8000,1
CRYPTO_malloc,421235,0,0,0
EVP_add_cipher,421235,9000,7000,1
OBJ_NAME_add,421235,2000,1000,1
OPENSSL_LH_insert,421235,1000,1000,0
OBJ_NAME_add,421235,3000,2000,1
lh_OBJ_NAME_insert,421235,1000,1000,0
EVP_add_cipher,421235,15000,3000,1
OBJ_NAME_add,421235,12000,2000,1
OPENSSL_LH_insert,421235,10000,1000,1
getrn,421235,9000,1000,1
lh_OBJ_NAME_cfn_thunk,421235,8000,1000,1
obj_name_cmp,421235,7000,7000,1
ossl_tolower,421235,0,0,0
EVP_add_cipher,421235,10000,10000,1
OBJ_nid2sn,421235,0,0,0
EVP_rc4_40,421235,0,0,0
EVP_add_cipher,421235,10000,4000,1
OBJ_NAME_add,421235,6000,6000,1
CRYPTO_free,421235,0,0,0
EVP_add_cipher,421235,12000,4000,1
OBJ_NAME_add,421235,8000,3000,1
OPENSSL_LH_insert,421235,5000,1000,1
obj_name_cmp,421235,4000,0,1
OPENSSL_strcasecmp,421235,4000,4000,0
EVP_add_cipher,421235,10000,4000,1
OBJ_NAME_add,421235,6000,2000,1
lh_OBJ_NAME_insert,421235,4000,0,1
expand,421235,0,0,0
EVP_add_cipher,421235,10000,5000,1
OBJ_NAME_add,421235,5000,5000,0
EVP_add_cipher,421235,11000,4000,1
CRYPTO_THREAD_run_once,421235,0,0,0
