function_name,thread_id,duration_ns,self_time_ns,num_children
main,44879,1016999,853999,2
lastNameFromPath,44879,0,0,0
FIO_decompressFilename,44879,985999,9999,4
AIO_WritePool_create,44879,88000,30000,1
AIO_IOPool_init,44879,88000,13000,3
POOL_create_advanced,44879,57000,57000,0
AIO_IOPool_createIoJob,44879,6000,6000,0
AIO_IOPool_createIoJob,44879,12000,12000,0
AIO_ReadPool_create,44879,66000,2000,1
AIO_IOPool_createThreadPool,44879,26000,0,1
POOL_create,44879,26000,26000,0
AIO_IOPool_createIoJob,44879,1000,1000,0
AIO_IOPool_createIoJob,44879,5000,5000,0
AIO_IOPool_createIoJob,44879,13000,13000,0
FIO_decompressSrcFile,44879,633000,32000,3
FIO_openSrcFile,44879,15000,15000,0
AIO_ReadPool_setFile,44879,172000,1000,1
AIO_ReadPool_startReading,44879,171000,14000,4
AIO_IOPool_acquireJob,44879,0,0,1
AIO_IOPool_unlockJobsMutex,44879,0,0,0
AIO_IOPool_enqueueJob,44879,75000,0,1
AIO_ReadPool_executeReadJob,44879,75000,75000,0
POOL_thread,44886,554000,554000,0
POOL_thread,44887,655000,655000,0
AIO_ReadPool_enqueueRead,44879,44000,1000,1
AIO_ReadPool_executeReadJob,44879,43000,43000,0
AIO_ReadPool_enqueueRead,44879,32000,1000,1
AIO_IOPool_enqueueJob,44879,31000,0,1
AIO_ReadPool_executeReadJob,44879,31000,31000,0
AIO_ReadPool_enqueueRead,44879,5000,5000,1
AIO_IOPool_acquireJob,44879,0,0,1
AIO_IOPool_unlockJobsMutex,44879,0,0,0
FIO_decompressDstFile,44879,425000,52000,6
FIO_openDstFile,44879,59000,47000,1
UTIL_stat,44879,12000,12000,0
AIO_WritePool_setFile,44879,0,0,1
AIO_IOPool_setFile,44879,0,0,0
FIO_decompressFrames,44879,313000,8000,2
AIO_ReadPool_fillBuffer,44879,1000,1000,0
FIO_decompressZstdFrame,44879,304000,14000,6
ZSTD_decompressStream,44879,114000,23000,3
ZSTD_customMalloc,44879,4000,4000,0
ZSTD_decompressContinueStream,44879,38000,0,1
ZSTD_decompressContinue,44879,38000,1000,1
ZSTD_copyRawBlock,44879,37000,37000,0
ZSTD_limitCopy,44879,49000,49000,0
AIO_IOPool_enqueueJob,44879,44000,0,1
AIO_WritePool_executeWriteJob,44879,44000,1000,1
AIO_fwriteSparse,44879,43000,43000,0
ZSTD_decompressStream,44879,52000,7000,1
ZSTD_decompressContinue,44879,45000,2000,1
ZSTD_copyRawBlock,44879,43000,43000,0
AIO_IOPool_enqueueJob,44879,33000,0,1
AIO_fwriteSparse,44879,33000,33000,0
AIO_IOPool_releaseIoJob,44879,0,0,1
AIO_IOPool_unlockJobsMutex,44879,0,0,0
ZSTD_decompressStream,44879,24000,6000,1
ZSTD_decompressContinueStream,44879,18000,1000,1
ZSTD_decompressContinue,44879,17000,0,1
ZSTD_copyRawBlock,44879,17000,17000,0
AIO_IOPool_enqueueJob,44879,20000,0,1
AIO_fwriteSparse,44879,19000,19000,0
UTIL_setFDStat,44879,21000,20000,1
UTIL_fstat,44879,1000,1000,0
AIO_WritePool_closeFile,44879,12000,12000,0
UTIL_utime,44879,7000,7000,0
FIO_freeDResources,44879,189000,2000,2
AIO_WritePool_free,44879,106000,1000,1
AIO_IOPool_join,44879,2000,2000,0
POOL_free,44879,98000,98000,1
ZSTD_customFree,44879,0,0,0
AIO_ReadPool_free,44879,81000,1000,1
AIO_IOPool_destroy,44879,80000,7000,1
POOL_free,44879,75000,74000,1
ZSTD_customFree,44879,1000,1000,0
